Locations,Latitude,Longitude
El Oro,19.0,-100.0
"El Palmito, Presa",25.0,-105.0
El Porvenir,31.0,-105.0
El Pueblito,29.0,-105.0
El Rosarito,28.0,-114.0
El Salto,23.0,-105.0
El Sueco,29.0,-106.0
El Venado,22.0,-101.0
El Vergel,26.0,-106.0
Eldorado,24.0,-107.0
Empalme,28.0,-110.0
Encarnacion de Diaz,21.0,-102.0
Ensenada,31.0,-116.0
Ensenada de los Muertos,23.0,-109.0
Escalon,26.0,-104.0
Escuinapa,22.0,-105.0
"Espiritu Santo, B. del",19.0,-87.0
"Espiritu Santo, I.",24.0,-110.0
Espita,21.0,-88.0
Etzatlan,20.0,-104.0
Etzna,19.0,-90.0
"Falcon, Presa",26.0,-99.0
"Falsa, Pta.",27.0,-115.0
Felipe Carrillo Puerto,19.0,-88.0
"Francisco I. Madero, Coahuila",25.0,-103.0
"Francisco I. Madero, Durango",24.0,-104.0
"Frederico I, Madero, Presa",28.0,-105.0
Fresnillo,23.0,-103.0
Frontera,18.0,-92.0
Fronteras,30.0,-109.0
Fuerte,25.0,-109.0
"Galeana, Chihuahua",30.0,-107.0
"Galeana, Nuevo Leon",24.0,-100.0
General Cepeda,25.0,-101.0
General Trevino,26.0,-99.0
General Trias,28.0,-106.0
"Giganta, Sa. de la",25.0,-111.0
Gomez Palacio,25.0,-104.0
Guadalajara,20.0,-103.0
Guadalupe,32.0,-116.0
Guadalupe,32.0,-116.0
Guadalupe Bravos,31.0,-106.0
Guadalupe y Calvo,26.0,-106.0
Guamuchil,25.0,-108.0
Guanacevi,25.0,-106.0
Guanajuato,21.0,-101.0
Guanajuato,20.0,-101.0
Guasave,25.0,-108.0
Guaymas,27.0,-110.0
Guerrero,17.0,-100.0
"Guzman, L. de",31.0,-107.0
Hermosillo,29.0,-111.0
Heroica/Caborca,30.0,-112.0
Heroica Nogales/Nogales,31.0,-110.0
Hidalgo,24.0,-99.0
Hidalgo,20.0,-99.0
"Hidalgo, Presa M.",26.0,-108.0
Hidalgo del Parral,26.0,-105.0
Hopelchen,19.0,-89.0
Huachinera,30.0,-108.0
Huajuapan de Leon,17.0,-97.0
Huatabampo,26.0,-109.0
Huauchinango,20.0,-98.0
Huautla de Jimenez,18.0,-96.0
Huay Namota,21.0,-104.0
Huejucar,22.0,-103.0
Huetamo,18.0,-100.0
Huichapan,20.0,-99.0
Huisache,22.0,-100.0
Huixtla,15.0,-92.0
Iguala,18.0,-99.0
Imuris,30.0,-110.0
"Infiernillo, Presa del",18.0,-102.0
Irapuato,20.0,-101.0
"Isabela, I.",21.0,-105.0
Ixtepec,16.0,-95.0
Ixtlan del Rio,21.0,-104.0
Izamal,20.0,-89.0
Izucar de Matamoros,18.0,-98.0
Jalapa Enriquez,19.0,-96.0
Jalisco,20.0,-104.0
Jalpa,21.0,-102.0
Jamiltepec,16.0,-97.0
Janos,30.0,-108.0
Jazminal,24.0,-101.0
"Jerez, Punta",22.0,-103.0
Jerez de Garcia Salinas,36.0,-6.0
Jesus Carranza,17.0,-95.0
Jimenez,27.0,-104.0
Jiquilpan,19.0,-102.0
Jojutla,18.0,-99.0
Juan Aldama,24.0,-103.0
Juarez,32.0,-115.0
Juarez Sierra de,32.0,-116.0
Juchitan,16.0,-95.0
Julimes,28.0,-105.0
Kino,28.0,-111.0
La Banda,20.0,-102.0
La Bomba,31.0,-115.0
La Concordia,16.0,-92.0
La Cruz,23.0,-106.0
La Escondida,24.0,-99.0
La Independencia,16.0,-91.0
La Libertad,29.0,-112.0
La Mision,32.0,-116.0
La Paz,24.0,-110.0
La Pesca,23.0,-97.0
La Piedad,20.0,-102.0
La Purisima,26.0,-112.0
La Rumorosa,32.0,-116.0
La Union,17.0,-101.0
La Venta,18.0,-94.0
La Ventura,24.0,-100.0
Lacantium,16.0,-90.0
Lagos de Moreno,21.0,-101.0
Laja,20.0,-100.0
Lampazos de Naranjo,27.0,-100.0
Las Chimeneas,32.0,-116.0
Las Palmas,32.0,-116.0
Las Truchas,17.0,-102.0
Leon,21.0,-101.0
Lerdo,25.0,-103.0
Linares,24.0,-99.0
Llera,23.0,-99.0
Lobos,27.0,-110.0
Loreto,26.0,-111.0
"Los Angeles, Bahai de",28.0,-113.0
Los Mochis,25.0,-108.0
Los Reyes,19.0,-102.0
Lower California=Baja California,31.0,-115.0
Lucero,30.0,-106.0
"M.R. GoMez, Press",26.0,-99.0
Macuspana,17.0,-92.0
Madera,29.0,-108.0
"Madre del Sur, Sierra",17.0,-100.0
Madre Occidental Sierra,27.0,-107.0
"Madre oriental, Sierra",25.0,-100.0
Magdalena,30.0,-112.0
Magdalena,30.0,-112.0
"Magdalena, Liano de la,",25.0,-111.0
Magozal,21.0,-97.0
"Maldonado, Punta",16.0,-98.0
Manzanillo,19.0,-104.0
Mapastepec,15.0,-92.0
"MapiMi, Bolson de",27.0,-104.0
Maravatio,19.0,-100.0
Mascota,20.0,-104.0
Matamoros Campeche,18.0,-90.0
"Matamoros, Coahuila",25.0,-103.0
Matamoros Tamaulipas,25.0,-97.0
Matehula,23.0,-100.0
Matias Romero,16.0,-95.0
Maxcanu,20.0,-92.0
Mayapan,20.0,-89.0
Mazapil,24.0,-101.0
Mazatan,29.0,-110.0
Mazatian,23.0,-106.0
Melchor Muzquiz,27.0,-101.0
Melchor OcaMpo,24.0,-101.0
Mendez,25.0,-98.0
Meoqui,28.0,-105.0
Merida,20.0,-89.0
Mexicali,32.0,-115.0
Mexican Plateau,25.0,-104.0
Mexico,19.0,-99.0
Mexico,19.0,-99.0
Mezquital,23.0,-104.0
Miahuatian,16.0,-96.0
Michoacan,19.0,-102.0
Miguel Aleman Presa,18.0,-96.0
Minatittlan,17.0,-94.0
Misantla,19.0,-96.0
Mision,32.0,-116.0
Mixetco,18.0,-98.0
Mocorito,25.0,-107.0
Moctezuma,25.0,-107.0
Moctezuma,21.0,-98.0
Mocuzari Presa,27.0,-109.0
